Unnamed: 0,Movie,Genre,Rating,Emotions
85,Baadshah,"Action, Comedy            ",6.4,"Comedy, Hopeful, Adventure, Dark, Sad"
86,3,"Drama, Mystery, Romance            ",7.2,"Action, Love, Revenge"
87,Sarrainodu,"Action, Drama            ",6.4,"Excited, Heartwarming, Action"
88,Kick,"Action, Comedy            ",7.8,"Fantasy, Patriotic, Hopeful, Revenge"
89,Leader,Drama,8,"Emotional, Mind-blowing, Hopeful, Fear, Suspenseful"
90,Anjaan,"Action, Musical, Thriller            ",5,"Dark, Hopeful, Feel-good"
91,Khushi,"Drama, Romance            ",7.9,"Comedy, Feel-good, Fantasy, Heartwarming"
92,Maya Bazaar,"Comedy, Drama, Family            ",9.2,"Adventure, Emotional, Family"
93,Rakhta Charitra,"Action, Biography, Crime            ",7.6,"Fantasy, Fear, Hopeful"
94,Mirchi,"Action, Drama            ",7.2,"Heartwarming, Excited, Happy"
95,Chatrapathi,"Action, Drama            ",7.6,"Hopeful, Adventure"
96,C/o Kancharapalem,Drama,9,"Romantic, Comedy, Adventure"
97,Sachein,"Comedy, Drama, Romance            ",6.9,"Drama, Love, Happy, Revenge, Motivational"
98,Murari,"Drama, Romance, Thriller            ",7.8,"Romantic, Emotional, Thrilling, Friendship, Tragic"
99,Vikramarkudu,Action,7.7,"Romantic, Patriotic, Hopeful"
100,Kuruthipunal,"Action, Drama, Thriller            ",8.5,"Romantic, Hopeful, Chill"
101,Brindaavanam,"Action, Comedy, Drama            ",7.1,"Romantic, Action, Tragic"
102,Panjaa,"Action, Thriller            ",6.5,"Drama, Fantasy"
103,Nuvvu Naaku Nachchav,"Musical, Comedy, Family            ",8.7,"Romantic, Drama, Anger"
104,Gopala Gopala,"Comedy, Drama, Fantasy            ",7.3,"Suspenseful, Friendship, Hopeful, Fantasy, Anger"
105,Kaappaan,"Action, Thriller            ",6.4,"Mind-blowing, Motivational, Anger"
106,Aagadu,"Action, Comedy            ",5.4,"Happy, Romantic, Anger"
107,Masss,"Action, Comedy, Horror            ",6,"Happy, Mystery, Family, Fantasy"
108,Maanagaram,"Action, Thriller            ",8.1,"Chill, Serious, Motivational, Fantasy"
109,Drushyam,"Crime, Drama, Family            ",8.3,"Motivational, Drama, Romantic"
110,Yamadonga,"Action, Comedy, Fantasy            ",7.3,"Comedy, Mind-blowing"
111,S/O Satyamurthy,"Action, Drama            ",6.9,"Fear, Action, Happy"
112,Tholi Prema,"Drama, Romance            ",8.2,"Anger, Motivational, Chill"
113,Awe!,Thriller,7.8,"Drama, Heartwarming"
114,Yatra,"Biography, Drama, Romance            ",8.2,"Serious, Anger"
115,Fidaa,"Drama, Romance            ",7.5,"Emotional, Love, Mystery, Friendship, Patriotic"
116,Oosaravelli,"Action, Thriller            ",6.6,"Comedy, Anger"
117,Evaru,"Crime, Drama, Thriller            ",8.2,"Revenge, Action, Patriotic, Serious"
118,Odiyan,"Action, Drama, Fantasy            ",5.5,"Chill, Heartwarming, Comedy, Sad"
119,Khaidi No 150,"Action, Drama            ",6,"Comedy, Sad, Thrilling, Mind-blowing"
120,NGK,"Action, Drama            ",6,"Chill, Comedy, Sad, Emotional, Dark"
121,Duvvada Jagannadham,"Action, Comedy            ",5.6,"Feel-good, Fantasy, Emotional, Sad, Hopeful"
122,Bale Bale Magadivoy,"Comedy, Romance            ",7.8,"Mind-blowing, Hopeful, Emotional, Motivational"
123,Shiva,"Action, Crime, Drama            ",8.1,"Family, Mystery, Serious, Comedy"
124,Manmadhudu,"Comedy, Romance            ",8.3,"Mystery, Serious, Dark, Love"
125,Mr Perfect,"Drama, Romance            ",7.1,"Happy, Heartwarming, Suspenseful, Motivational, Chill"
126,Orange,"Comedy, Drama, Romance            ",6.6,"Happy, Chill, Mystery, Heartwarming"
127,Anirudh,"Action, Drama, Family            ",4.3,"Hopeful, Drama, Dark, Emotional"
128,Gamyam,Drama,8.3,"Feel-good, Hopeful, Thrilling"
129,Kanche,"Action, Drama, History            ",7.9,"Sad, Romantic"
130,Naayak,Action,5.5,"Mind-blowing, Friendship, Heartwarming"
131,Malliswari,"Comedy, Romance            ",7.8,"Romantic, Sad, Motivational, Action, Friendship"
132,Nuvvostanante Nenoddantana,Romance,7.7,"Fear, Friendship"
133,Ye Maaya Chesave,Romance,7.7,"Action, Drama"
134,Sagara Sangamam,"Musical, Romance, Drama            ",8.8,"Serious, Friendship, Anger, Feel-good, Drama"
135,Rudhramadevi,"Action, Biography, History            ",5.8,"Chill, Inspirational, Thrilling, Revenge, Dark"
136,Cameraman Gangatho Rambabu,"Action, Drama            ",5.7,"Adventure, Mystery, Romantic, Sad, Chill"
137,Majili,"Drama, Romance            ",7.2,"Drama, Family, Heartwarming, Happy, Friendship"
138,Uttama Villain,"Comedy, Drama            ",7.2,"Friendship, Motivational, Fantasy"
139,Arundhati,"Horror, Mystery, Thriller            ",7.3,"Dark, Drama, Happy"
140,Agnyaathavaasi,"Action, Drama            ",4.5,"Happy, Family, Revenge"
141,Pilla Zamindar,"Comedy, Drama            ",7.7,"Family, Thrilling, Anger"
142,100% Love,"Comedy, Drama, Romance            ",7,"Family, Hopeful, Happy"
143,Aa Naluguru,Drama,8.5,"Friendship, Heartwarming"
144,Darling,"Comedy, Drama, Romance            ",7.3,"Hopeful, Suspenseful, Chill"
145,Aha Naa Pellanta,Comedy,8.9,"Patriotic, Emotional, Hopeful"
146,Vinaya Vidheya Rama,Action,3.3,"Thrilling, Suspenseful, Heartwarming, Anger, Mystery"
147,Happy,"Action, Comedy, Drama            ",7,"Sad, Serious, Thrilling"
148,Ala Modalaindi,"Comedy, Drama, Romance            ",7.7,"Dark, Revenge, Excited, Serious"
149,Prasthanam,"Action, Drama            ",8.3,"Serious, Feel-good, Inspirational, Emotional"
150,Dhee,Comedy,7.4,"Tragic, Chill, Serious"
151,Iddarammayilatho,"Action, Thriller            ",5.7,"Revenge, Feel-good"
152,Simhadri,"Action, Drama            ",7.4,"Chill, Mind-blowing, Suspenseful"
153,Taxiwaala,"Comedy, Horror, Thriller            ",7,"Chill, Action"
154,Parugu,"Action, Romance            ",7,"Heartwarming, Serious, Fear, Friendship, Family"
155,Rakhta Charitra 2,"Action, Biography, Crime            ",6.4,"Motivational, Hopeful, Adventure, Heartwarming"
156,Maryada Ramanna,"Action, Comedy, Drama            ",7.4,"Action, Mind-blowing, Friendship, Family"
157,Rachcha,Action,4.3,"Family, Patriotic, Love, Excited"
158,HIT,"Crime, Drama, Mystery            ",7.8,"Comedy, Love, Serious, Suspenseful"
159,Nota,Drama,6.4,"Inspirational, Sad, Tragic, Happy"
160,U Turn,"Mystery, Thriller            ",7,"Suspenseful, Sad, Inspirational, Romantic, Dark"
161,Thammudu,"Action, Drama, Sport            ",7.8,"Love, Mind-blowing"
162,Zanjeer,"Action, Drama            ",3.2,"Revenge, Serious, Family, Mind-blowing"
163,Ezra,"Horror, Mystery, Thriller            ",6.7,"Adventure, Suspenseful, Revenge, Anger, Happy"
164,Bhaagamathie,"Action, Horror, Thriller            ",7,"Family, Adventure, Excited"
165,Adhurs,"Action, Comedy, Thriller            ",6.7,"Hopeful, Fear, Anger, Mystery, Sad"
166,Aditya 369,"Family, Sci-Fi, Adventure            ",8.4,"Family, Mystery"
167,Sardaar Gabbar Singh,"Action, Comedy            ",4.8,"Hopeful, Adventure"
168,Gitanjali,"Drama, Romance            ",8.2,"Patriotic, Serious, Hopeful, Inspirational"
169,Ninnu Kori,"Comedy, Romance            ",7.6,"Fantasy, Anger, Tragic"
170,Indra,"Action, Drama            ",7.4,"Feel-good, Motivational, Action, Comedy, Friendship"
171,Vishwaroopam 2,"Action, Thriller            ",5.9,"Mind-blowing, Revenge, Fantasy"
172,Oru Adaar Love,"Comedy, Romance            ",5.5,"Feel-good, Friendship"
173,Tholi Prema,Romance,7.3,"Fantasy, Tragic, Patriotic, Suspenseful"
174,Brochevarevarura,Comedy,8,"Hopeful, Tragic, Love"
175,7/G Rainbow Colony,"Drama, Romance            ",7.8,"Love, Fantasy, Dark, Serious, Revenge"
176,Tagore,"Action, Drama            ",7.8,"Friendship, Excited"
177,Gang Leader,"Action, Comedy            ",7.6,"Revenge, Friendship, Excited"
178,Bujjigaadu: Made in Chennai,"Action, Drama            ",6.4,"Adventure, Inspirational, Excited, Mystery"
179,Sye,"Action, Drama, Sport            ",7.4,"Revenge, Comedy"
180,Yevade Subramanyam,"Adventure, Comedy, Drama            ",7.6,"Fear, Family, Tragic, Friendship, Suspenseful"
181,Mathu Vadalara,"Comedy, Crime, Thriller            ",8.3,"Patriotic, Revenge"
182,Katamarayudu,"Action, Comedy            ",5.7,"Romantic, Love, Hopeful"
183,Maari 2,"Action, Comedy            ",5.6,"Dark, Happy"
184,Gautamiputra Satakarni,"Action, History            ",6.5,"Anger, Action, Fear, Thrilling"
185,Rx 100,"Action, Drama, Romance            ",6.9,"Emotional, Happy, Excited, Drama"
186,A... Aa,"Comedy, Romance            ",6.8,"Mind-blowing, Tragic, Drama, Romantic, Hopeful"
187,Aalavandhan,"Action, Thriller            ",7.1,"Sad, Action, Romantic, Anger, Revenge"
188,F2: Fun and Frustration,Comedy,6.2,"Emotional, Chill, Suspenseful, Feel-good, Happy"
189,The House Next Door,Horror,6.8,"Action, Happy, Hopeful"
190,Krishna Gaadi Veera Prema Gaadha,"Action, Comedy, Romance            ",7.5,"Suspenseful, Action, Romantic"
191,Prince,"Action, Sci-Fi, Thriller            ",4.2,"Anger, Emotional, Excited"
192,Sankarabharanam,"Drama, Musical, Romance            ",8.7,"Action, Fear, Heartwarming, Inspirational, Mind-blowing"
193,Thoongaavanam,"Action, Thriller            ",7,"Hopeful, Comedy, Revenge, Adventure"
194,Govindudu Andari Vaadele,"Action, Drama            ",5.6,"Friendship, Sad, Adventure, Tragic"
195,Anand,"Comedy, Drama, Musical            ",7.8,"Love, Heartwarming, Happy, Excited"
196,Raja Kumarudu,"Comedy, Drama, Romance            ",6.7,"Family, Anger, Mind-blowing, Dark"
197,Baba,"Action, Drama, Fantasy            ",5.1,"Sad, Dark, Fear, Family, Revenge"
198,Dhammu,"Action, Drama            ",5.2,"Fear, Feel-good, Family, Thrilling"
199,Ramayya Vastavayya,"Action, Drama            ",5.1,"Hopeful, Friendship"
200,NTR: Kathanayakudu,"Biography, Drama            ",5.7,"Mind-blowing, Family, Romantic, Happy, Excited"
201,Chirutha,Action,5.3,"Hopeful, Friendship"
202,Thaandavam,"Action, Thriller            ",6.1,"Happy, Emotional, Feel-good, Love, Adventure"
203,Athidhi,Action,5.5,"Tragic, Revenge, Fear"
204,Kshana Kshanam,"Comedy, Crime, Drama            ",8.1,"Chill, Anger"
205,Penguin,"Drama, Mystery, Thriller            ",4.6,"Patriotic, Suspenseful, Action"
206,Rudra Veena,"Drama, Musical            ",8.5,"Feel-good, Heartwarming, Excited, Fantasy, Sad"
207,Legend,"Action, Drama            ",6.3,"Revenge, Mind-blowing, Anger, Excited"
208,Annamayya,"Biography, History, Musical            ",8,"Inspirational, Chill, Dark, Hopeful, Serious"
209,Badrinath,Action,4.3,"Mind-blowing, Action, Serious, Revenge"
210,Nenu Local,"Action, Comedy, Romance            ",6.4,"Emotional, Heartwarming, Mind-blowing, Suspenseful, Chill"
211,Oh Baby...,"Comedy, Drama, Fantasy            ",7.4,"Excited, Anger, Sad"
212,Sketch,Action,5.7,"Love, Feel-good, Emotional"
213,Hello Guru Prema Kosame,"Comedy, Romance            ",7.1,"Revenge, Anger, Friendship"
214,Rabhasa,"Action, Comedy            ",4.9,"Action, Mind-blowing, Motivational"
215,Sainikudu,Action,5.1,"Hopeful, Comedy, Excited"
216,Ishq,"Comedy, Romance            ",7.3,"Love, Inspirational, Romantic"
217,Arjun,Action,6.5,"Love, Revenge, Heartwarming"
218,Badri,"Comedy, Drama, Romance            ",7.1,"Patriotic, Hopeful, Action"
219,Krishnarjuna,"Comedy, Drama, Romance            ",4.9,"Thrilling, Romantic, Fear, Anger"
220,Hello,"Action, Romance            ",7.2,"Inspirational, Love"
221,Saleem,"Action, Comedy            ",4.6,"Drama, Emotional, Excited, Heartwarming"
222,Nijam,Action,6.6,"Adventure, Excited, Motivational"
223,Bruce Lee: The Fighter,"Action, Comedy            ",5.5,"Hopeful, Emotional, Heartwarming, Mind-blowing"
224,MCA Middle Class Abbayi,"Action, Comedy            ",5.8,"Motivational, Patriotic, Fear"
225,Ee Nagaraniki Emaindi,"Comedy, Drama            ",7.9,"Comedy, Family"
226,Nenu Sailaja,"Action, Comedy, Romance            ",6.9,"Hopeful, Motivational"
227,Gentleman,"Mystery, Romance, Thriller            ",7.1,"Action, Patriotic, Mind-blowing, Motivational"
228,Student No. 1,"Action, Crime, Drama            ",6.8,"Revenge, Action, Inspirational, Mind-blowing, Feel-good"
229,Kumari 21F,"Drama, Romance            ",7.8,"Fear, Comedy, Mind-blowing, Drama, Suspenseful"
230,Billa,"Action, Thriller            ",6.1,"Action, Thrilling"
231,Love Ke Liye Kuch Bhi Karega,"Comedy, Crime, Romance            ",6,"Friendship, Patriotic, Tragic"
232,Run Baby Run,"Action, Comedy, Thriller            ",6.6,"Motivational, Mind-blowing, Sad, Family, Inspirational"
233,Chitralahari,Drama,7.2,"Motivational, Serious, Romantic"
234,Shankar Dada MBBS,Comedy,7.4,"Anger, Feel-good, Emotional"
235,Teen Maar,"Comedy, Drama, Romance            ",5.6,"Fear, Comedy, Suspenseful"
236,Kanthaswamy,Action,5,"Adventure, Patriotic, Happy, Comedy, Fantasy"
237,Komaram Puli,"Action, Crime, Thriller            ",3.5,"Tragic, Inspirational, Emotional"
238,Rebel,"Action, Comedy, Drama            ",4.7,"Serious, Sad"
239,iSmart Shankar,"Action, Sci-Fi            ",5.5,"Chill, Serious"
240,Anukokunda Oka Roju,"Mystery, Thriller            ",8,"Mind-blowing, Family, Hopeful, Patriotic, Serious"
241,Bheeshma,"Action, Comedy, Romance            ",6.6,"Comedy, Heartwarming"
242,Karthikeya,"Mystery, Thriller            ",7.4,"Serious, Chill, Fantasy"
243,Desamuduru,"Action, Drama            ",6.1,"Mystery, Adventure, Chill, Hopeful"
244,Gunde Jaari Gallanthayyinde,"Comedy, Drama, Romance            ",7.1,"Excited, Action, Adventure, Dark"
245,Pailwan,"Action, Drama, Sport            ",6.4,"Emotional, Action, Suspenseful, Heartwarming"
246,World Famous Lover,Romance,4.6,"Thrilling, Love"
247,Theeya Velai Seiyyanum Kumaru,Comedy,6.1,"Romantic, Fantasy"
248,Raja The Great,"Action, Comedy            ",6.5,"Sad, Fear"
249,Kadaram Kondan,"Action, Thriller            ",5.7,"Thrilling, Feel-good, Mystery, Sad"
250,Sammohanam,Romance,7.6,"Sad, Tragic, Motivational"
251,Simha,"Action, Drama            ",5.8,"Patriotic, Fantasy, Drama, Feel-good"
252,Aithe,"Action, Adventure, Thriller            ",8.1,"Hopeful, Suspenseful, Adventure, Emotional, Revenge"
253,Takkari Donga,"Action, Adventure, Comedy            ",6.8,"Suspenseful, Happy"
254,Kadhalil Sodhappuvadhu Yeppadi,"Comedy, Romance            ",7.1,"Comedy, Chill"
255,Pammal K. Sambandam,"Comedy, Musical            ",7.1,"Serious, Adventure"
256,Kanchana 2,"Comedy, Horror            ",5.5,"Suspenseful, Family, Fantasy, Emotional"
257,Saroja,"Adventure, Comedy, Crime            ",7.1,"Emotional, Chill, Fear, Anger, Mystery"
258,Vel,"Action, Comedy, Drama            ",6,"Fantasy, Anger, Comedy, Adventure"
259,Pandavulu Pandavulu Thummeda,Comedy,6.4,"Suspenseful, Mystery, Sad, Tragic, Adventure"
260,Doosukeltha,"Action, Comedy            ",6.7,"Feel-good, Emotional"
261,Gundamma Katha,"Comedy, Drama            ",8.8,"Adventure, Heartwarming"
262,Oohalu Gusagusalade,"Comedy, Romance            ",7.7,"Action, Dark, Love"
263,Rowdy,"Action, Crime, Drama            ",6.4,"Fantasy, Revenge, Sad, Excited"
264,Devadas,"Action, Comedy, Drama            ",6.7,"Inspirational, Happy, Tragic, Dark"
265,Sokkali Mainor,"Comedy, Drama            ",6.4,"Friendship, Action, Heartwarming, Emotional"
266,Dhenikaina Ready,"Action, Comedy            ",6.1,"Drama, Motivational, Sad, Excited, Fantasy"
267,Political Rowdy,Action,5.2,"Fantasy, Serious, Happy, Feel-good, Revenge"
268,Anukshanam,"Crime, Thriller            ",6.5,"Heartwarming, Revenge"
269,Stalin,"Action, Drama            ",5.9,"Patriotic, Comedy, Friendship"
270,Godavari,"Drama, Romance            ",7.8,"Motivational, Heartwarming, Sad, Happy, Comedy"
271,Suryam,"Action, Romance            ",5.1,"Heartwarming, Friendship"
272,Balu,"Action, Crime            ",6,"Love, Thrilling, Inspirational"
273,Savyasachi,Action,5.4,"Adventure, Emotional, Love"
274,Nene Raju Nene Mantri,"Action, Thriller            ",5.8,"Tragic, Serious, Anger"
275,Varsham,"Action, Comedy, Romance            ",7.1,"Mystery, Drama, Adventure, Dark"
276,Kaashmora,"Action, Comedy, Fantasy            ",5.5,"Comedy, Action"
277,Run Raja Run,"Comedy, Drama            ",7.4,"Mind-blowing, Drama, Emotional"
278,Abhiyum Naanum,"Comedy, Drama, Family            ",7.6,"Family, Adventure, Chill"
279,Eedo Rakam Aado Rakam,"Comedy, Romance            ",7,"Anger, Heartwarming, Chill, Revenge, Excited"
280,Asthram,"Action, Crime, Thriller            ",5.8,"Dark, Thrilling, Drama, Emotional"
281,Ready,"Action, Comedy            ",7.2,"Revenge, Adventure, Love, Feel-good"
282,Irandam Ulagam,"Action, Fantasy, Romance            ",5.7,"Action, Adventure, Serious, Feel-good"
283,Sree,Action,5.3,"Sad, Motivational, Fear, Tragic"
284,Aadi,"Action, Drama, Romance            ",7.2,"Motivational, Thrilling, Sad, Adventure"
285,Jhummandi Naadam,Drama,5.3,"Tragic, Chill, Mystery, Hopeful, Fantasy"
286,Pandurangadu,"Drama, Fantasy            ",5.2,"Dark, Heartwarming"
287,Naani,Romance,5.2,"Chill, Romantic, Suspenseful, Serious"
288,Game,Thriller,5.1,"Inspirational, Feel-good, Family, Excited, Friendship"
289,Shatamanam Bhavati,Drama,7,"Emotional, Dark, Thrilling"
290,Mass,"Action, Drama            ",6.4,"Emotional, Chill"
291,Swamy Ra Ra,Crime,7.3,"Heartwarming, Adventure"
292,Ekkadiki Pothavu Chinnavada,"Comedy, Fantasy, Romance            ",7.5,"Serious, Dark, Heartwarming, Sad"
293,Amazon Obhijaan,"Action, Adventure            ",4.7,"Family, Sad, Dark, Inspirational"
294,Chi La Sow,"Comedy, Romance            ",7.8,"Action, Mystery, Sad, Inspirational"
295,Kaathala Kaathala,"Comedy, Drama, Romance            ",7.5,"Dark, Drama"
296,Kanchana 3,"Action, Comedy, Horror            ",4.2,"Sad, Suspenseful, Thrilling, Mind-blowing, Happy"
297,Vishnu,"Action, Romance            ",5.5,"Revenge, Sad, Thrilling, Motivational, Excited"
298,Rakhi,"Action, Drama            ",6.3,"Adventure, Mystery, Emotional, Love"
299,Oh My Friend,Romance,6.6,"Action, Chill, Inspirational"
300,Balupu,"Action, Comedy            ",6,"Heartwarming, Sad, Family"
301,Aadavari Matalaku Ardhalu Verule,"Comedy, Drama, Romance            ",7.4,"Patriotic, Love, Romantic, Excited"
302,Prayanam,Romance,7.1,"Love, Mystery, Mind-blowing, Adventure, Happy"
303,Antariksham 9000 kmph,"Adventure, Drama, Sci-Fi            ",6,"Heartwarming, Hopeful, Action, Romantic, Patriotic"
304,Konchem Ishtam Konchem Kashtam,Romance,7,"Adventure, Love"
305,Jamba Lakidi Pamba,Comedy,8.2,"Hopeful, Chill, Anger"
306,Kotigobba 2,"Action, Drama, Thriller            ",6.5,"Chill, Motivational, Thrilling"
307,Kaadhal,Romance,7.5,"Family, Adventure, Emotional"
308,Current Theega,"Action, Comedy, Romance            ",5.6,"Friendship, Serious, Love, Suspenseful"
309,MalliRaava,"Drama, Romance            ",8,"Adventure, Motivational, Dark, Revenge, Action"
310,Saahasam Swaasaga Saagipo,"Action, Romance            ",6.9,"Fear, Family"
